publishedAt,title,description,source,url,text,sentiment_compound
2025-06-22 03:01:02+00:00,"Weekly poll results: iOS 26 is a mixed bag, new features liked better than the new look","Apple has divided opinions with its new iOS 26 – it introduced new features, but is also a part of a wider effort to unify the user experience across all Apple products. As we noted in last week’s poll, the new OS version is only available as a developer beta…","{'id': None, 'name': 'GSMArena.com'}",https://www.gsmarena.com/weekly_poll_results_ios_26_is_a_mixed_bag_new_features_liked_better_than_the_new_look-news-68307.php,"Weekly poll results: iOS 26 is a mixed bag, new features liked better than the new look Apple has divided opinions with its new iOS 26 – it introduced new features, but is also a part of a wider effort to unify the user experience across all Apple products. As we noted in last week’s poll, the new OS version is only available as a developer beta…",0.431
2025-06-22 02:55:24+00:00,Unable to unlock MacBook Air with Apple Watch 9,"Unable to unlock MacBook Air with Apple Watch 9 - posted in Mac OS: Hi,
 
For any reason I cant unlock my MacBook Air with my Apple Watch 9.
 
MacBook Air comes from 2022 and it worked with my old watch 7.","{'id': None, 'name': 'BleepingComputer'}",https://www.bleepingcomputer.com/forums/t/797238/unable-to-unlock-macbook-air-with-apple-watch-9/,"Unable to unlock MacBook Air with Apple Watch 9 Unable to unlock MacBook Air with Apple Watch 9 - posted in Mac OS: Hi,
 
For any reason I cant unlock my MacBook Air with my Apple Watch 9.
 
MacBook Air comes from 2022 and it worked with my old watch 7.",0.0
2025-06-22 02:37:04+00:00,"SNL 50 Rewind: When Trump's Crew Vacationed at ""The White Lotus""","As we await word on what the cast of NBC's Saturday Night Live will look like heading into Season 51, the summer is bringing us a look back at the milestone 50th season. Tonight, SNL flashes back to April 12th, with host Jon Hamm (Apple TV+'s Your Friends & N…","{'id': None, 'name': 'Bleeding Cool News'}",https://bleedingcool.com/tv/snl-50-rewind-when-trumps-crew-vacationed-at-the-white-lotus/,"SNL 50 Rewind: When Trump's Crew Vacationed at ""The White Lotus"" As we await word on what the cast of NBC's Saturday Night Live will look like heading into Season 51, the summer is bringing us a look back at the milestone 50th season. Tonight, SNL flashes back to April 12th, with host Jon Hamm (Apple TV+'s Your Friends & N…",0.7184
2025-06-22 02:00:02+00:00,Apple starts displaying energy efficiency labels on iPhone and iPad's pages in EU,"Starting June 20, manufacturers are required to sell their smartphones and tablets in the European Union (EU) with an energy efficiency label in the box. We don't know about the boxes, but with the regulation in effect, Apple has started displaying this label…","{'id': None, 'name': 'GSMArena.com'}",https://www.gsmarena.com/apple_iphone_ipad_eu_energy_efficiency_label-news-68357.php,"Apple starts displaying energy efficiency labels on iPhone and iPad's pages in EU Starting June 20, manufacturers are required to sell their smartphones and tablets in the European Union (EU) with an energy efficiency label in the box. We don't know about the boxes, but with the regulation in effect, Apple has started displaying this label…",0.5574
2025-06-22 01:52:12+00:00,Top Apple executives have their eyes on Perplexity?,"Apple is reportedly considering a bid for AI startup Perplexity AI, aiming to bolster its AI capabilities and talent pool. Internal discussions, involving key executives like Adrian Perica and Eddy Cue, have explored the potential acquisition to develop an AI…","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://timesofindia.indiatimes.com/world/us/top-apple-executives-have-their-eyes-on-perplexity/articleshow/122000792.cms,"Top Apple executives have their eyes on Perplexity? Apple is reportedly considering a bid for AI startup Perplexity AI, aiming to bolster its AI capabilities and talent pool. Internal discussions, involving key executives like Adrian Perica and Eddy Cue, have explored the potential acquisition to develop an AI…",0.7269
2025-06-22 01:41:17+00:00,I for…? You’ll be amazed to know what the ‘i’ in iPhone stands for!,"For years, Apple enthusiasts have wondered about the 'i' in iPhone and other products. Steve Jobs revealed it initially signified internet connectivity with the iMac in 1998. Over time, its meaning expanded to include individualism, instruction, information, …","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://timesofindia.indiatimes.com/etimes/trending/i-for-youll-be-amazed-to-know-what-the-i-in-iphone-stands-for/articleshow/122000765.cms,"I for…? You’ll be amazed to know what the ‘i’ in iPhone stands for! For years, Apple enthusiasts have wondered about the 'i' in iPhone and other products. Steve Jobs revealed it initially signified internet connectivity with the iMac in 1998. Over time, its meaning expanded to include individualism, instruction, information, …",0.7088
2025-06-22 00:30:34+00:00,"By Replacing Jake Gyllenhaal, Apple TV+'s Hit Returning Crime Drama Is Repeating True Detective Season 2's Riskiest Gamble","Apple TV+'s hit returning crime drama series has replaced Jake Gyllenhaal and, in turn, repeated True Detective season 2's riskiest casting gamble.","{'id': None, 'name': 'Screen Rant'}",https://screenrant.com/presumed-innocent-season-2-jake-gyllenhaal-replace-true-detective-casting-gamble-repeat/,"By Replacing Jake Gyllenhaal, Apple TV+'s Hit Returning Crime Drama Is Repeating True Detective Season 2's Riskiest Gamble Apple TV+'s hit returning crime drama series has replaced Jake Gyllenhaal and, in turn, repeated True Detective season 2's riskiest casting gamble.",-0.7506
2025-06-21 23:49:06+00:00,"Domino’s: 30% Cashback ($10 Cap) + [Apple Pay] 50% Bonus Cashback ($10 Cap, 1x Per User) @ ShopBack","Cashback offer is back, only 15% normal cashback this time but with bonus 50% if paying with Apple Pay.","{'id': None, 'name': 'Ozbargain.com.au'}",https://www.ozbargain.com.au/node/911832,"Domino’s: 30% Cashback ($10 Cap) + [Apple Pay] 50% Bonus Cashback ($10 Cap, 1x Per User) @ ShopBack Cashback offer is back, only 15% normal cashback this time but with bonus 50% if paying with Apple Pay.",0.7506
2025-06-21 23:36:49+00:00,Apple、AFPを将来のmacOSで廃止するのに伴い「AirMac Extremeベースステーション」や「Time Capsule」、「Time Machine over AFP」でのTime Machineバックアップを非推奨とすると発表。,"AppleがApple Filing Protocolを将来のmacOSで廃止するのに伴い、「AirMac Extremeベースステーション」や「Time Capsule」でのTime Machineバックアップを非推 […]
The post Apple、AFPを将来のmacOSで廃止するのに伴い「AirMac Extremeベースステーション」や「Time Capsule」、「Time Machine over AFP」でのTime Machineバックアップを非推奨とすると発表。 first appeare…","{'id': None, 'name': 'Applech2.com'}",https://applech2.com/archives/20250622-apple-afp-timemachine-deprecation-with-airmac-and-time-capsule.html,"Apple、AFPを将来のmacOSで廃止するのに伴い「AirMac Extremeベースステーション」や「Time Capsule」、「Time Machine over AFP」でのTime Machineバックアップを非推奨とすると発表。 AppleがApple Filing Protocolを将来のmacOSで廃止するのに伴い、「AirMac Extremeベースステーション」や「Time Capsule」でのTime Machineバックアップを非推 […]
The post Apple、AFPを将来のmacOSで廃止するのに伴い「AirMac Extremeベースステーション」や「Time Capsule」、「Time Machine over AFP」でのTime Machineバックアップを非推奨とすると発表。 first appeare…",0.0
2025-06-21 23:33:02+00:00,iPhone 17 to come in two new colors,"According to a new report, Apple is internally testing two new colors for the vanilla iPhone 17 - Purple and Green. However, the report claims that although Apple is considering the two colorways, only one will make the cut.



Currently, the Purple one is re…","{'id': None, 'name': 'GSMArena.com'}",https://www.gsmarena.com/iphone_17_to_come_in_two_new_colors-news-68356.php,"iPhone 17 to come in two new colors According to a new report, Apple is internally testing two new colors for the vanilla iPhone 17 - Purple and Green. However, the report claims that although Apple is considering the two colorways, only one will make the cut.



Currently, the Purple one is re…",-0.2732
