publishedAt,title,description,source,url,text
2025-06-23 16:40:31+00:00,Amazon’s Choice 15.6-Inch Portable Monitor Matches Its Black Friday Price Ahead of Prime Day,This Anyuse 15.6-inch portable HD monitor is down to just $50 for limited time.,"{'id': None, 'name': 'Gizmodo.com'}",https://gizmodo.com/amazons-choice-15-6-inch-portable-monitor-matches-its-black-friday-price-ahead-of-prime-day-2000609494,amazon’s choice 15.6-inch portable monitor matches its black friday price ahead of prime day this anyuse 15.6-inch portable hd monitor is down to just $50 for limited time.
2025-06-23 16:40:07+00:00,Amazon - Yorlu Bone Conduction Headphones $19.49,Yorlu Bone Conduction Headphones,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/electronics/audio-video/yorlu-bone-conduction-headphones-19544,amazon - yorlu bone conduction headphones $19.49 yorlu bone conduction headphones
2025-06-23 16:40:07+00:00,Amazon - YBYBfit Cute Pilates Socks $4.94,YBYBfit Cute Pilates Socks,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/sporting-goods/sports/ybybfit-cute-pilates-socks-19542,amazon - ybybfit cute pilates socks $4.94 ybybfit cute pilates socks
2025-06-23 16:40:07+00:00,Amazon - Selouj Stylus Pen for iPad $6.99,Selouj Stylus Pen for iPad,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/computers-office/peripherals/selouj-stylus-pen-for-ipad-19548,amazon - selouj stylus pen for ipad $6.99 selouj stylus pen for ipad
2025-06-23 16:40:07+00:00,Amazon - Baby Playpen $99.99,Baby Playpen,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/baby-kids/baby-playpen-19549,amazon - baby playpen $99.99 baby playpen
2025-06-23 16:40:07+00:00,Amazon - ACHIX Magnetic Golf Towel 2-Pack $9.59,ACHIX Magnetic Golf Towel 2-Pack,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/sporting-goods/sports/achix-magnetic-golf-towel-19543,amazon - achix magnetic golf towel 2-pack $9.59 achix magnetic golf towel 2-pack
2025-06-23 16:40:07+00:00,Amazon - Bsubseach Womens Maxi Skirts $17.54,Bsubseach Womens Maxi Skirts,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/womens/bsubseach-womens-maxi-skirts-19550,amazon - bsubseach womens maxi skirts $17.54 bsubseach womens maxi skirts
2025-06-23 16:39:54+00:00,Score Greenworks’ 82V commercial 760 CFM cordless axial blower with two Bluetooth 4.0Ah batteries at new $300 low (50% off),Amazon is offering the Greenworks 82V Commercial-Grade 760 CFM Cordless Axial Leaf Blower bundle with two 82V Bluetooth 4.0Ah batteries and a dual-port rapid charger at $299.99 shipped. This combination of the blower with the two smart batteries would normall…,"{'id': None, 'name': '9to5Toys'}",http://9to5toys.com/2025/06/23/greenworks-82v-commercial-760-cfm-blower-bundle-new-300-low/,score greenworks’ 82v commercial 760 cfm cordless axial blower with two bluetooth 4.0ah batteries at new $300 low (50% off) amazon is offering the greenworks 82v commercial-grade 760 cfm cordless axial leaf blower bundle with two 82v bluetooth 4.0ah batteries and a dual-port rapid charger at $299.99 shipped. this combination of the blower with the two smart batteries would normall…
2025-06-23 16:39:26+00:00,Amazon's robotaxi looks to be Waymo's biggest competitor,"Amazon has unveiled its latest big bet as it looks to usurp a share of the self-driving car market from Waymo, announcing last week that it has opened its own autonomous vehicle production facility. The plant will eventually be able to produce self-driving ro…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/a121824878283c71,"amazon's robotaxi looks to be waymo's biggest competitor amazon has unveiled its latest big bet as it looks to usurp a share of the self-driving car market from waymo, announcing last week that it has opened its own autonomous vehicle production facility. the plant will eventually be able to produce self-driving ro…"
2025-06-23 16:38:04+00:00,Amazon - Electric Whiskey Smoker Kit $13.99,Electric Whiskey Smoker Kit,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/household/kitchen-appliances/electric-whiskey-smoker-kit-19535,amazon - electric whiskey smoker kit $13.99 electric whiskey smoker kit
2025-06-23 16:38:04+00:00,Amazon - difficort Womens 2 Piece Outfits $18.50,difficort Womens 2 Piece Outfits,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/womens/difficort-womens-piece-outfits-19539,amazon - difficort womens 2 piece outfits $18.50 difficort womens 2 piece outfits
2025-06-23 16:38:04+00:00,Amazon - WOOMADA Fanny Pack $11.99,WOOMADA Fanny Pack,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/bags-luggage/woomada-fanny-pack-19538,amazon - woomada fanny pack $11.99 woomada fanny pack
2025-06-23 16:38:04+00:00,Amazon - Turandoss Colorful Beaded Necklaces $4.99,Turandoss Colorful Beaded Necklaces,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/turandoss-colorful-beaded-necklaces-19536,amazon - turandoss colorful beaded necklaces $4.99 turandoss colorful beaded necklaces
2025-06-23 16:38:04+00:00,Amazon - Turandoss Gold Cross Necklace $3.99,Turandoss Gold Cross Necklace,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/turandoss-gold-cross-necklace-19537,amazon - turandoss gold cross necklace $3.99 turandoss gold cross necklace
2025-06-23 16:38:04+00:00,Amazon - Turandoss Gold Earrings - 3 Pairs $4.99,Turandoss Gold Earrings - 3 Pairs,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/turandoss-gold-earrings---pairs-19540,amazon - turandoss gold earrings - 3 pairs $4.99 turandoss gold earrings - 3 pairs
2025-06-23 16:36:05+00:00,Amazon - PRETTYGARDEN Women's Lace Tops $14.84,PRETTYGARDEN Women's Lace Tops,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/womens/lace-tops-19521,amazon - prettygarden women's lace tops $14.84 prettygarden women's lace tops
2025-06-23 16:36:05+00:00,Amazon - WAJASHUE Bubble Letter Necklace $3.99,WAJASHUE Bubble Letter Necklace,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/bubble-letter-necklace-19526,amazon - wajashue bubble letter necklace $3.99 wajashue bubble letter necklace
2025-06-23 16:36:05+00:00,Amazon - Wood Phone Docking Station $12.49,Wood Phone Docking Station,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/household/furniture-decor/wood-phone-docking-station-19525,amazon - wood phone docking station $12.49 wood phone docking station
2025-06-23 16:36:05+00:00,Amazon - Goldegg Gold Hand Chain Bracelets $3.99,Goldegg Gold Hand Chain Bracelets,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/goldegg-gold-hand-chain-bracelets-19529,amazon - goldegg gold hand chain bracelets $3.99 goldegg gold hand chain bracelets
2025-06-23 16:36:05+00:00,Amazon - SUUSON Car Phone Holder $4.99,SUUSON Car Phone Holder,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/household/automotive/car-phone-holder-19522,amazon - suuson car phone holder $4.99 suuson car phone holder
2025-06-23 16:36:05+00:00,Amazon - Stainless Steel Stove Gap Covers $8.99,Stainless Steel Stove Gap Covers,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/household/kitchen-appliances/stainless-steel-stove-gap-covers-19523,amazon - stainless steel stove gap covers $8.99 stainless steel stove gap covers
2025-06-23 16:35:35+00:00,32-Piece Wiha GoBox Standard Bit Set with Mini Ratchet (74984) $22.95,"Amazon [amazon.com] has *32-Piece Wiha GoBox Standard Bit Set with Mini Ratchet *(74984) for *$22.94*. 
*Shipping is free* with Prime or on $35+ orders. 
 
*Price* 
*$17.04* lower (43% savings) than...","{'id': None, 'name': 'Slickdeals.net'}",https://slickdeals.net/f/18398155-22-94-32-piece-wiha-gobox-standard-bit-set-with-mini-ratchet-74984-at-amazon,"32-piece wiha gobox standard bit set with mini ratchet (74984) $22.95 amazon [amazon.com] has *32-piece wiha gobox standard bit set with mini ratchet *(74984) for *$22.94*. 
*shipping is free* with prime or on $35+ orders. 
 
*price* 
*$17.04* lower (43% savings) than..."
2025-06-23 16:34:04+00:00,Amazon - ENGPOW File Box with Lock $19.99,ENGPOW File Box with Lock,"{'id': None, 'name': 'Dealcatcher.com'}",https://www.dealcatcher.com/deals/computers-office/printers-ink/fire-and-waterproof-file-box-with-lock-19518,amazon - engpow file box with lock $19.99 engpow file box with lock
