publishedAt,title,description,source,url,text
2025-06-21 09:52:54+00:00,Alphabet Inc. (NASDAQ:GOOGL) Shares Acquired by State of Alaska Department of Revenue,"State of Alaska Department of Revenue lifted its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.3% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm ow…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/alphabet-inc-nasdaqgoogl-shares-acquired-by-state-of-alaska-department-of-revenue/,"alphabet inc. (nasdaq:googl) shares acquired by state of alaska department of revenue state of alaska department of revenue lifted its holdings in shares of alphabet inc. (nasdaq:googl – free report) by 2.3% in the 1st quarter, according to the company in its most recent 13f filing with the securities and exchange commission (sec). the firm ow…"
2025-06-21 09:10:58+00:00,Barrett & Company Inc. Cuts Stock Position in Alphabet Inc. (NASDAQ:GOOGL),"Barrett & Company Inc. lowered its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.6% during the 1st quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 9,077 shares of the information services provi…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/barrett-company-inc-cuts-stock-position-in-alphabet-inc-nasdaqgoogl/,"barrett & company inc. cuts stock position in alphabet inc. (nasdaq:googl) barrett & company inc. lowered its stake in alphabet inc. (nasdaq:googl – free report) by 1.6% during the 1st quarter, according to its most recent filing with the securities & exchange commission. the fund owned 9,077 shares of the information services provi…"
2025-06-21 09:10:56+00:00,Analyst IMS Investment Management Services Ltd. Trims Stake in Alphabet Inc. (NASDAQ:GOOGL),"Analyst IMS Investment Management Services Ltd. cut its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 14.4% during the first quarter, according to the company in its most recent Form 13F filing with the SEC. The firm owned 11,235 shares of …","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/analyst-ims-investment-management-services-ltd-trims-stake-in-alphabet-inc-nasdaqgoogl/,"analyst ims investment management services ltd. trims stake in alphabet inc. (nasdaq:googl) analyst ims investment management services ltd. cut its stake in shares of alphabet inc. (nasdaq:googl – free report) by 14.4% during the first quarter, according to the company in its most recent form 13f filing with the sec. the firm owned 11,235 shares of …"
2025-06-21 09:10:56+00:00,"CWA Asset Management Group LLC Purchases 18,161 Shares of Alphabet Inc. (NASDAQ:GOOGL)","CWA Asset Management Group LLC grew its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 18.1% during the first quarter, according to its most recent 13F filing with the SEC. The institutional investor owned 118,628 shares of the information services…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/cwa-asset-management-group-llc-purchases-18161-shares-of-alphabet-inc-nasdaqgoogl/,"cwa asset management group llc purchases 18,161 shares of alphabet inc. (nasdaq:googl) cwa asset management group llc grew its position in alphabet inc. (nasdaq:googl – free report) by 18.1% during the first quarter, according to its most recent 13f filing with the sec. the institutional investor owned 118,628 shares of the information services…"
2025-06-21 09:10:55+00:00,"LifeWealth Investments LLC Buys 3,462 Shares of Alphabet Inc. (NASDAQ:GOOGL)","LifeWealth Investments LLC lifted its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 52.0% during the 1st quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 10,123 shares of the information servi…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/lifewealth-investments-llc-buys-3462-shares-of-alphabet-inc-nasdaqgoogl/,"lifewealth investments llc buys 3,462 shares of alphabet inc. (nasdaq:googl) lifewealth investments llc lifted its stake in alphabet inc. (nasdaq:googl – free report) by 52.0% during the 1st quarter, according to its most recent disclosure with the securities & exchange commission. the firm owned 10,123 shares of the information servi…"
2025-06-21 09:10:54+00:00,Marino Stram & Associates LLC Grows Stock Holdings in Alphabet Inc. (NASDAQ:GOOGL),"Marino Stram & Associates LLC boosted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.0% in the first quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The institutional investor owned 10,777 shares …","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/marino-stram-associates-llc-grows-stock-holdings-in-alphabet-inc-nasdaqgoogl/,"marino stram & associates llc grows stock holdings in alphabet inc. (nasdaq:googl) marino stram & associates llc boosted its holdings in alphabet inc. (nasdaq:googl – free report) by 1.0% in the first quarter, according to its most recent 13f filing with the securities and exchange commission. the institutional investor owned 10,777 shares …"
2025-06-21 09:10:53+00:00,Dunhill Financial LLC Raises Stake in Alphabet Inc. (NASDAQ:GOOGL),"Dunhill Financial LLC boosted its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 7.2% during the 1st quarter, HoldingsChannel reports. The firm owned 8,131 shares of the information services provider’s stock after purchasing an additional…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/dunhill-financial-llc-raises-stake-in-alphabet-inc-nasdaqgoogl/,"dunhill financial llc raises stake in alphabet inc. (nasdaq:googl) dunhill financial llc boosted its holdings in shares of alphabet inc. (nasdaq:googl – free report) by 7.2% during the 1st quarter, holdingschannel reports. the firm owned 8,131 shares of the information services provider’s stock after purchasing an additional…"
2025-06-21 08:39:06+00:00,Mayfair Advisory Group LLC Sells 71 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Mayfair Advisory Group LLC cut its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.5% during the first quarter, Holdings Channel reports. The fund owned 2,742 shares of the information services provider’s stock after selling 71 shares du…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/mayfair-advisory-group-llc-sells-71-shares-of-alphabet-inc-nasdaqgoogl/,"mayfair advisory group llc sells 71 shares of alphabet inc. (nasdaq:googl) mayfair advisory group llc cut its holdings in shares of alphabet inc. (nasdaq:googl – free report) by 2.5% during the first quarter, holdings channel reports. the fund owned 2,742 shares of the information services provider’s stock after selling 71 shares du…"
2025-06-21 08:39:04+00:00,Hoge Financial Services LLC Purchases 243 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Hoge Financial Services LLC lifted its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 11.6% during the 1st quarter, according to its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 2,343 …","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/hoge-financial-services-llc-purchases-243-shares-of-alphabet-inc-nasdaqgoogl/,"hoge financial services llc purchases 243 shares of alphabet inc. (nasdaq:googl) hoge financial services llc lifted its position in shares of alphabet inc. (nasdaq:googl – free report) by 11.6% during the 1st quarter, according to its most recent disclosure with the securities & exchange commission. the institutional investor owned 2,343 …"
2025-06-21 08:39:03+00:00,Pegasus Asset Management Inc. Cuts Stock Position in Alphabet Inc. (NASDAQ:GOOGL),"Pegasus Asset Management Inc. cut its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.5% in the first quarter, according to the company in its most recent disclosure with the SEC. The institutional investor owned 4,635 shares of the information se…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/21/pegasus-asset-management-inc-cuts-stock-position-in-alphabet-inc-nasdaqgoogl/,"pegasus asset management inc. cuts stock position in alphabet inc. (nasdaq:googl) pegasus asset management inc. cut its holdings in alphabet inc. (nasdaq:googl – free report) by 2.5% in the first quarter, according to the company in its most recent disclosure with the sec. the institutional investor owned 4,635 shares of the information se…"
