publishedAt,title,description,source,url,text
2025-06-23 16:22:00+00:00,"INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Meta Platforms, Inc. - META","NEW YORK, June 23, 2025 (GLOBE NEWSWIRE) -- Pomerantz LLP is investigating claims on behalf of investors of  Meta Platforms, Inc. (“Meta” or the “Company”) (NASDAQ: META). Such investors are advised to contact Danielle Peyton at newaction@pomlaw.com or 646-58…","{'id': None, 'name': 'GlobeNewswire'}",https://www.globenewswire.com/news-release/2025/06/23/3103696/1087/en/INVESTOR-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Meta-Platforms-Inc-META.html,"investor alert: pomerantz law firm investigates claims on behalf of investors of meta platforms, inc. - meta new york, june 23, 2025 (globe newswire) -- pomerantz llp is investigating claims on behalf of investors of  meta platforms, inc. (“meta” or the “company”) (nasdaq: meta). such investors are advised to contact danielle peyton at newaction@pomlaw.com or 646-58…"
2025-06-23 16:05:00+00:00,Detachment 201: The Merger of Big Tech and the U.S. Army,"The United States Army has officially launched “Detachment 201,” a first-of-its-kind partnership with executives from Big Tech firms Palantir, Meta, and OpenAI. The day before Donald Trump’s 250th anniversary parade for the U.S. Army, the Army swore in four S…","{'id': None, 'name': 'Activistpost.com'}",https://www.activistpost.com/detachment-201-the-merger-of-big-tech-and-the-u-s-army/,"detachment 201: the merger of big tech and the u.s. army the united states army has officially launched “detachment 201,” a first-of-its-kind partnership with executives from big tech firms palantir, meta, and openai. the day before donald trump’s 250th anniversary parade for the u.s. army, the army swore in four s…"
2025-06-23 15:43:42+00:00,Commission eyes Meta’s revenue programme with Russian-backed media,Meta is a long-time signatory of the EU's Code of Practice against Disinformation which asks signatories to demonetise disinformation on their platforms.,"{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/1195ea1670430c2f,commission eyes meta’s revenue programme with russian-backed media meta is a long-time signatory of the eu's code of practice against disinformation which asks signatories to demonetise disinformation on their platforms.
2025-06-23 15:29:40+00:00,Report: Mark Zuckerberg's Olive Branch to Trump and MAGA Sparks 'Horror' Amongst Meta Employees,"Mark Zuckerberg's comments on the Joe Rogan Experience podcast and his multiple olive branches to Donald Trump and the MAGA movement have reportedly left Meta employees horrified and disgruntled.
The post Report: Mark Zuckerberg’s Olive Branch to Trump and MA…","{'id': 'breitbart-news', 'name': 'Breitbart News'}",https://www.breitbart.com/tech/2025/06/23/report-mark-zuckerbergs-olive-branch-to-trump-and-maga-sparks-horror-amongst-meta-employees/,"report: mark zuckerberg's olive branch to trump and maga sparks 'horror' amongst meta employees mark zuckerberg's comments on the joe rogan experience podcast and his multiple olive branches to donald trump and the maga movement have reportedly left meta employees horrified and disgruntled.
the post report: mark zuckerberg’s olive branch to trump and ma…"
2025-06-23 15:24:46+00:00,WhatsApp banned on US House of Representatives devices - memo,"WASHINGTON :Meta Platforms WhatsApp messaging service has been banned on all U.S. House of Representatives devices, according to a memo sent to House staff on Monday.The notice to all House staff said the ""Office of Cybersecurity has deemed WhatsApp a high-ri…","{'id': None, 'name': 'CNA'}",https://www.channelnewsasia.com/business/whatsapp-banned-us-house-representatives-devices-memo-5198671,"whatsapp banned on us house of representatives devices - memo washington :meta platforms whatsapp messaging service has been banned on all u.s. house of representatives devices, according to a memo sent to house staff on monday.the notice to all house staff said the ""office of cybersecurity has deemed whatsapp a high-ri…"
2025-06-23 15:24:46+00:00,"WhatsApp banned on US House of Representatives devices, memo shows","WASHINGTON :Meta Platforms' WhatsApp messaging service has been banned from all U.S. House of Representatives devices, according to a memo sent to all House staff on Monday.The notice said the ""Office of Cybersecurity has deemed WhatsApp a high risk to users …","{'id': None, 'name': 'CNA'}",https://www.channelnewsasia.com/business/whatsapp-banned-us-house-representatives-devices-memo-shows-5198671,"whatsapp banned on us house of representatives devices, memo shows washington :meta platforms' whatsapp messaging service has been banned from all u.s. house of representatives devices, according to a memo sent to all house staff on monday.the notice said the ""office of cybersecurity has deemed whatsapp a high risk to users …"
2025-06-23 15:10:14+00:00,Market Analysis: Meta Platforms And Competitors In Interactive Media & Services Industry,"In the ever-evolving and intensely competitive business landscape, conducting a thorough company analysis is of utmost importance for investors and industry followers. In this article, we will carry out an in-depth industry comparison, assessing Meta Platform…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/81f3768cdab527c0,"market analysis: meta platforms and competitors in interactive media & services industry in the ever-evolving and intensely competitive business landscape, conducting a thorough company analysis is of utmost importance for investors and industry followers. in this article, we will carry out an in-depth industry comparison, assessing meta platform…"
2025-06-23 14:49:52+00:00,"What’s up with… Meta, SK Telecom, Masayoshi Son",Meta takes us a step closer to the next ‘smartphone moment’SK Telecom is allowed to sign up new customers againSoftBank Group chief has a new $1tn vision for T…,"{'id': None, 'name': 'TelecomTV'}",https://www.telecomtv.com/content/digital-platforms-services/what-s-up-with-meta-sk-telecom-masayoshi-son-53276/,"what’s up with… meta, sk telecom, masayoshi son meta takes us a step closer to the next ‘smartphone moment’sk telecom is allowed to sign up new customers againsoftbank group chief has a new $1tn vision for t…"
2025-06-23 14:48:36+00:00,‘A Black Hole of Energy Use’,"Roshan Abraham, writing at 404 Media about Meta’s AI datacenter in Louisiana: A January report from NOLA.com said that the the state had rewritten zoning laws, promised to change a law so that it no longer had to put state property up for public bidding, and …","{'id': None, 'name': '512pixels.net'}",https://512pixels.net/2025/06/a-black-hole-of-energy-use/,"‘a black hole of energy use’ roshan abraham, writing at 404 media about meta’s ai datacenter in louisiana: a january report from nola.com said that the the state had rewritten zoning laws, promised to change a law so that it no longer had to put state property up for public bidding, and …"
2025-06-23 14:37:00+00:00,US Congress staffers told to remove WhatsApp,United States House of Representatives Chief Administrative Officer (CAO) Catherine Szpindor informed Congressional staffers that they should remove Meta Platform Inc.'s WhatsApp from their work devic...,"{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/64e53e13de34527c,us congress staffers told to remove whatsapp united states house of representatives chief administrative officer (cao) catherine szpindor informed congressional staffers that they should remove meta platform inc.'s whatsapp from their work devic...
